Theatre,Size Slab (in GB),Minimum cost,Cost Per GB,Partner ID
T1     ,0-100            ,1500        ,20         ,P1
T1     ,100-200          ,2000        ,13         ,P1
T1     ,200-300          ,2500        ,12         ,P1
T1     ,300-400          ,3000        ,10         ,P1
T2     ,0-100            ,1500        ,20         ,P1
T2     ,100-200          ,2000        ,15         ,P1
T2     ,200-300          ,2500        ,12         ,P1
T2     ,300-400          ,3000        ,10         ,P1
T1     ,0-200            ,1000        ,20         ,P2
T1     ,200-400          ,2500        ,15         ,P2
T2     ,0-200            ,2500        ,20         ,P2
T2     ,200-400          ,3500        ,10         ,P2
T1     ,100-200          ,800         ,25         ,P3
T1     ,200-600          ,1200        ,30         ,P3
T2     ,100-200          ,900         ,15         ,P3
T2     ,200-400          ,1000        ,12         ,P3
